vuosi;okmohjauksenala;korkeakoulu;tutkinnot;opiskelijat;uudet;lasna;fte
2007;Kauppa, hallinto ja oikeustieteet;Yrkeshögskolan Arcada;56;520;154;444;385.5
2007;Kauppa, hallinto ja oikeustieteet;Yrkeshögskolan Novia;12;237;93;213;193.5
2007;Kauppa, hallinto ja oikeustieteet;Åbo Akademi;142;844;67;730;514.5
2007;Luonnontieteet;Helsingin yliopisto;865;7075;842;6328;4599.5
2007;Luonnontieteet;Itä-Suomen yliopisto;277;2366;330;2096;1594.0
2007;Luonnontieteet;Jyväskylän yliopisto;283;2411;375;2186;1714.5
2007;Luonnontieteet;Laurea-ammattikorkeakoulu;10;95;20;85;76.5
2007;Luonnontieteet;Oulun yliopisto;250;2621;354;2335;1791.0
2007;Luonnontieteet;Svenska handelshögskolan;1;6;0;6;3.5
2007;Luonnontieteet;Tampereen yliopisto;51;921;171;809;624.0
2007;Luonnontieteet;Turun ammattikorkeakoulu;16;122;26;115;104.5
2007;Luonnontieteet;Turun yliopisto;319;2709;337;2481;1896.0
2007;Luonnontieteet;Vaasan yliopisto;2;;0;;
2007;Luonnontieteet;Yrkeshögskolan Novia;3;40;9;37;35.0
2007;Luonnontieteet;Åbo Akademi;77;751;100;646;460.5
2007;Tietojenkäsittely ja tietoliikenne;Aalto-yliopisto;354;3751;311;3400;2299.0
2007;Tietojenkäsittely ja tietoliikenne;Centria-ammattikorkeakoulu;44;311;74;290;240.0
2007;Tietojenkäsittely ja tietoliikenne;Haaga-Helia ammattikorkeakoulu;190;1665;464;1448;1208.0
2007;Tietojenkäsittely ja tietoliikenne;Helsingin yliopisto;269;2285;172;1988;1274.0
2007;Tietojenkäsittely ja tietoliikenne;Hämeen ammattikorkeakoulu;73;603;155;521;454.5
2007;Tietojenkäsittely ja tietoliikenne;Itä-Suomen yliopisto;131;1069;137;977;688.0
2007;Tietojenkäsittely ja tietoliikenne;Jyväskylän ammattikorkeakoulu;165;977;232;860;736.5
2007;Tietojenkäsittely ja tietoliikenne;Jyväskylän yliopisto;169;1517;181;1430;1003.5
2007;Tietojenkäsittely ja tietoliikenne;Kajaanin ammattikorkeakoulu;51;348;109;291;258.0
2007;Tietojenkäsittely ja tietoliikenne;Karelia-ammattikorkeakoulu;70;421;86;371;322.5
2007;Tietojenkäsittely ja tietoliikenne;Kymenlaakson ammattikorkeak.;32;219;87;190;170.0
2007;Tietojenkäsittely ja tietoliikenne;Lahden ammattikorkeakoulu;81;530;126;457;379.5
2007;Tietojenkäsittely ja tietoliikenne;Lapin ammattikorkeakoulu;114;914;250;844;731.0
2007;Tietojenkäsittely ja tietoliikenne;Lappeenrannan tekn. yliopisto;70;770;78;672;472.5
2007;Tietojenkäsittely ja tietoliikenne;Laurea-ammattikorkeakoulu;88;649;164;593;491.0
2007;Tietojenkäsittely ja tietoliikenne;Metropolia Ammattikorkeakoulu;194;1988;480;1686;1376.0
2007;Tietojenkäsittely ja tietoliikenne;Mikkelin ammattikorkeakoulu;97;443;101;385;332.0
2007;Tietojenkäsittely ja tietoliikenne;Oulun ammattikorkeakoulu;191;1661;485;1468;1273.0
2007;Tietojenkäsittely ja tietoliikenne;Oulun yliopisto;164;2667;229;2422;1645.0
2007;Tietojenkäsittely ja tietoliikenne;Saimaan ammattikorkeakoulu;34;283;60;247;219.5
2007;Tietojenkäsittely ja tietoliikenne;Satakunnan ammattikorkeakoulu;91;568;111;503;440.0
2007;Tietojenkäsittely ja tietoliikenne;Savonia-ammattikorkeakoulu;79;577;125;521;461.0
2007;Tietojenkäsittely ja tietoliikenne;Seinäjoen ammattikorkeakoulu;109;573;100;518;450.0
2007;Tietojenkäsittely ja tietoliikenne;Svenska handelshögskolan;3;29;0;25;15.0
2007;Tietojenkäsittely ja tietoliikenne;Tampereen ammattikorkeakoulu;158;1144;332;1001;855.0
2007;Tietojenkäsittely ja tietoliikenne;Tampereen tekn. yliopisto;211;2961;278;2544;1761.5
2007;Tietojenkäsittely ja tietoliikenne;Tampereen yliopisto;91;1150;118;1059;714.5
2007;Tietojenkäsittely ja tietoliikenne;Turun ammattikorkeakoulu;176;1303;335;1153;998.5
2007;Tietojenkäsittely ja tietoliikenne;Turun yliopisto;135;1502;121;1360;899.0
2007;Tietojenkäsittely ja tietoliikenne;Vaasan ammattikorkeakoulu;91;798;164;654;551.5
2007;Tietojenkäsittely ja tietoliikenne;Vaasan yliopisto;18;472;65;401;280.0
2007;Tietojenkäsittely ja tietoliikenne;Yrkeshögskolan Arcada;14;84;;77;58.5
2007;Tietojenkäsittely ja tietoliikenne;Yrkeshögskolan Novia;15;199;46;176;146.0
2007;Tietojenkäsittely ja tietoliikenne;Åbo Akademi;47;493;33;439;300.5
2007;Tekniikan alat;Aalto-yliopisto;977;10975;1104;9660;6859.5
2007;Tekniikan alat;Centria-ammattikorkeakoulu;209;1167;285;1032;893.0
2007;Tekniikan alat;Hämeen ammattikorkeakoulu;318;2140;584;1948;1687.0
2007;Tekniikan alat;Itä-Suomen yliopisto;;17;;16;12.0
2007;Tekniikan alat;Jyväskylän ammattikorkeakoulu;241;1668;429;1457;1244.0
2007;Tekniikan alat;Kajaanin ammattikorkeakoulu;47;351;108;304;262.5
2007;Tekniikan alat;Karelia-ammattikorkeakoulu;120;769;200;670;570.5
2007;Tekniikan alat;Kymenlaakson ammattikorkeak.;163;1199;237;1049;917.0
2007;Tekniikan alat;Lahden ammattikorkeakoulu;137;928;250;819;742.0
2007;Tekniikan alat;Lapin ammattikorkeakoulu;125;1169;301;1046;894.5
2007;Tekniikan alat;Lappeenrannan tekn. yliopisto;391;3622;521;3006;2278.0
2007;Tekniikan alat;Metropolia Ammattikorkeakoulu;603;5185;1344;4419;3812.0
2007;Tekniikan alat;Mikkelin ammattikorkeakoulu;174;1004;241;855;754.0
2007;Tekniikan alat;Oulun ammattikorkeakoulu;246;2002;518;1755;1545.0
2007;Tekniikan alat;Oulun yliopisto;317;3260;256;2900;2128.0
2007;Tekniikan alat;Saimaan ammattikorkeakoulu;122;871;279;794;714.0
2007;Tekniikan alat;Satakunnan ammattikorkeakoulu;213;1526;328;1321;1138.0
2007;Tekniikan alat;Savonia-ammattikorkeakoulu;219;1782;533;1529;1345.0
2007;Tekniikan alat;Seinäjoen ammattikorkeakoulu;81;805;322;678;620.5
2007;Tekniikan alat;Tampereen ammattikorkeakoulu;462;2854;791;2398;2124.0
